video,index,index of user operation frame,index of response frame,index of finish frame,index of end frame,response time(ms),finish time(ms)
popular_study-dating-dog_dating-scenario2-video,22,306,308,308,316,69,69
popular_study-dating-dog_dating-scenario2-video,23,317,319,319,326,52,52
popular_study-dating-dog_dating-scenario2-video,24,327,330,330,336,91,91
popular_study-dating-dog_dating-scenario2-video,25,337,339,339,347,59,59
popular_study-dating-dog_dating-scenario2-video,26,348,351,362,362,108,394
popular_study-dating-dog_dating-scenario2-video,27,363,369,382,411,175,443
popular_study-dating-dog_dating-scenario2-video,28,412,417,430,457,161,517
popular_study-dating-dog_dating-scenario2-video,29,458,518,521,524,2420,2503
popular_study-dating-dog_dating-scenario2-video,30,525,530,554,554,106,670
popular_study-dating-dog_dating-scenario2-video,31,555,559,569,575,111,374
popular_study-dating-dog_dating-scenario2-video,32,576,577,594,594,36,3134
popular_study-education-language_translator-scenario1-video,1,2,18,27,33,330,506
popular_study-education-language_translator-scenario1-video,2,34,39,41,43,111,140
popular_study-education-language_translator-scenario1-video,3,44,48,49,60,67,82
popular_study-education-language_translator-scenario1-video,4,61,63,64,73,85,103
popular_study-education-language_translator-scenario1-video,5,74,77,78,81,100,121
popular_study-education-language_translator-scenario1-video,6,82,88,88,94,138,138
popular_study-education-language_translator-scenario1-video,7,95,96,96,99,65,65
popular_study-education-language_translator-scenario1-video,8,100,103,103,112,60,60
popular_study-education-language_translator-scenario1-video,9,113,118,129,140,121,552
popular_study-education-language_translator-scenario1-video,10,141,144,216,219,98,2642
popular_study-education-language_translator-scenario1-video,11,220,223,238,256,114,362
popular_study-education-language_translator-scenario1-video,12,257,261,275,308,128,384
popular_study-education-language_translator-scenario1-video,13,309,313,330,363,133,418
popular_study-education-language_translator-scenario1-video,14,364,368,383,400,79,329
popular_study-education-language_translator-scenario1-video,15,401,407,425,436,167,466
popular_study-education-language_translator-scenario1-video,16,437,448,459,462,251,435
popular_study-education-language_translator-scenario1-video,17,463,466,481,498,103,354
popular_study-education-language_translator-scenario1-video,18,499,501,518,552,118,400
popular_study-education-language_translator-scenario1-video,19,553,556,556,567,74,74
popular_study-education-language_translator-scenario1-video,20,568,570,586,602,77,360
popular_study-education-language_translator-scenario1-video,21,603,605,605,611,68,68
popular_study-education-language_translator-scenario1-video,22,612,622,622,622,1350,1350
popular_study-education-language_translator-scenario2-video,1,3,6,6,16,96,96
popular_study-education-language_translator-scenario2-video,2,17,24,33,42,184,333
popular_study-education-language_translator-scenario2-video,3,43,48,49,59,101,116
popular_study-education-language_translator-scenario2-video,4,60,62,63,69,100,119
popular_study-education-language_translator-scenario2-video,5,70,75,76,86,100,117
popular_study-education-language_translator-scenario2-video,6,87,90,91,100,101,117
popular_study-education-language_translator-scenario2-video,7,101,104,107,112,98,166
popular_study-education-language_translator-scenario2-video,8,113,116,116,123,100,100
popular_study-education-language_translator-scenario2-video,9,124,128,128,135,103,103
popular_study-education-language_translator-scenario2-video,10,136,139,140,148,110,130
popular_study-education-language_translator-scenario2-video,11,149,152,153,161,98,115
popular_study-education-language_translator-scenario2-video,12,162,164,165,175,67,87
popular_study-education-language_translator-scenario2-video,13,176,179,191,197,100,482
popular_study-education-language_translator-scenario2-video,14,198,202,269,272,81,2605
popular_study-education-language_translator-scenario2-video,15,273,278,312,315,148,1653
popular_study-education-language_translator-scenario2-video,16,316,323,335,354,115,314
popular_study-education-language_translator-scenario2-video,17,355,360,375,391,166,414
popular_study-education-language_translator-scenario2-video,18,392,410,421,445,298,553
popular_study-education-language_translator-scenario2-video,19,446,449,451,466,65,106
popular_study-education-language_translator-scenario2-video,20,467,470,472,487,73,122
popular_study-education-language_translator-scenario2-video,21,488,501,510,534,272,504
popular_study-education-language_translator-scenario2-video,22,535,543,562,574,179,499
popular_study-education-language_translator-scenario2-video,23,575,591,601,604,280,444
popular_study-education-language_translator-scenario2-video,24,605,611,619,645,165,296
popular_study-education-language_translator-scenario2-video,25,646,649,666,698,122,411
popular_study-education-language_translator-scenario2-video,26,699,706,720,735,169,401
popular_study-education-language_translator-scenario2-video,27,736,745,759,760,220,470
popular_study-education-language_translator-scenario2-video,28,761,764,764,775,71,71
popular_study-education-language_translator-scenario2-video,29,776,781,801,814,118,450
popular_study-education-plantsnap-scenario1-video,1,32,40,44,72,217,284
popular_study-education-plantsnap-scenario1-video,2,73,83,95,98,215,421
popular_study-education-plantsnap-scenario1-video,3,99,101,102,112,82,99
popular_study-education-plantsnap-scenario1-video,4,113,115,116,125,79,98
popular_study-education-plantsnap-scenario1-video,5,126,129,130,133,83,100
popular_study-education-plantsnap-scenario1-video,6,134,139,140,150,109,126
popular_study-education-plantsnap-scenario1-video,7,151,153,154,163,79,99
popular_study-education-plantsnap-scenario1-video,8,164,169,213,214,129,1561
popular_study-education-plantsnap-scenario1-video,9,215,230,244,244,566,815
popular_study-education-plantsnap-scenario1-video,10,245,251,277,278,121,555
popular_study-education-plantsnap-scenario1-video,11,279,283,303,312,72,404
popular_study-education-plantsnap-scenario1-video,12,313,317,350,356,82,660
popular_study-education-plantsnap-scenario1-video,13,357,361,450,469,123,1691
popular_study-education-plantsnap-scenario1-video,14,470,476,509,510,109,1048
popular_study-education-plantsnap-scenario1-video,15,511,517,545,579,113,595
popular_study-education-plantsnap-scenario1-video,16,580,588,617,678,133,611
popular_study-education-plantsnap-scenario1-video,17,679,686,686,788,120,120
popular_study-education-plantsnap-scenario1-video,18,789,794,862,916,99,1366
popular_study-education-plantsnap-scenario1-video,19,917,949,962,1052,798,1150
popular_study-education-plantsnap-scenario1-video,20,1053,1058,1086,1146,92,610
popular_study-education-plantsnap-scenario1-video,21,1147,1153,1177,1255,96,580
popular_study-education-plantsnap-scenario1-video,22,1256,1261,1308,1328,85,864
popular_study-education-plantsnap-scenario1-video,23,1329,1363,1379,1385,1597,1972
popular_study-education-plantsnap-scenario1-video,24,1386,1394,1405,1411,194,454
popular_study-education-plantsnap-scenario1-video,25,1412,1424,1439,1439,634,1720
popular_study-education-plantsnap-scenario2-video,1,14,24,56,57,301,2968
popular_study-education-plantsnap-scenario2-video,2,58,63,63,87,151,151
popular_study-education-plantsnap-scenario2-video,3,88,90,90,102,83,83
popular_study-education-plantsnap-scenario2-video,4,103,107,107,115,119,119
popular_study-education-plantsnap-scenario2-video,5,116,121,153,169,118,698
popular_study-education-plantsnap-scenario2-video,6,170,173,207,213,81,655
popular_study-education-plantsnap-scenario2-video,7,214,220,274,277,118,1436
popular_study-education-plantsnap-scenario2-video,8,278,282,320,328,85,768
popular_study-education-plantsnap-scenario2-video,9,329,335,379,393,119,876
popular_study-education-plantsnap-scenario2-video,10,394,397,450,464,75,982
popular_study-education-plantsnap-scenario2-video,11,465,470,509,521,114,789
popular_study-education-plantsnap-scenario2-video,12,522,525,525,534,115,115
popular_study-education-plantsnap-scenario2-video,13,535,541,550,589,100,250
popular_study-education-plantsnap-scenario2-video,14,590,594,603,603,119,282
popular_study-education-plantsnap-scenario2-video,15,604,607,650,669,91,821
popular_study-education-plantsnap-scenario2-video,16,670,673,693,715,57,483
popular_study-education-plantsnap-scenario2-video,17,716,718,718,744,62,62
popular_study-education-plantsnap-scenario2-video,18,745,747,747,757,80,80
popular_study-education-plantsnap-scenario2-video,19,758,762,808,821,111,970
popular_study-education-plantsnap-scenario2-video,20,822,824,824,843,82,82
popular_study-education-plantsnap-scenario2-video,21,844,848,862,906,106,332
popular_study-education-plantsnap-scenario2-video,22,907,912,912,942,93,93
popular_study-education-plantsnap-scenario2-video,23,943,946,965,1000,105,430
popular_study-education-plantsnap-scenario2-video,24,1001,1005,1005,1040,74,74
popular_study-education-plantsnap-scenario2-video,25,1041,1044,1044,1090,90,90
popular_study-entertainment-scanner_radio-scenario1-video,1,1,10,18,25,212,350
popular_study-entertainment-scanner_radio-scenario1-video,2,26,29,30,39,72,99
popular_study-entertainment-scanner_radio-scenario1-video,3,40,44,45,48,113,133
popular_study-entertainment-scanner_radio-scenario1-video,4,49,51,53,64,49,96
popular_study-entertainment-scanner_radio-scenario1-video,5,65,72,78,78,126,229
popular_study-entertainment-scanner_radio-scenario1-video,6,79,82,83,92,67,83
popular_study-entertainment-scanner_radio-scenario1-video,7,93,95,96,105,66,83
popular_study-entertainment-scanner_radio-scenario1-video,8,106,108,109,118,99,118
popular_study-entertainment-scanner_radio-scenario1-video,9,119,125,178,179,151,2766
popular_study-entertainment-scanner_radio-scenario1-video,10,180,196,223,223,303,3191
popular_study-entertainment-scanner_radio-scenario1-video,11,224,243,259,259,330,2106
popular_study-entertainment-scanner_radio-scenario1-video,12,260,278,366,367,328,3443
popular_study-entertainment-scanner_radio-scenario1-video,13,368,380,388,405,263,414
popular_study-entertainment-scanner_radio-scenario1-video,14,406,415,424,432,212,363
popular_study-entertainment-scanner_radio-scenario1-video,15,433,436,437,450,99,115
popular_study-entertainment-scanner_radio-scenario1-video,16,451,454,454,468,54,54
popular_study-entertainment-scanner_radio-scenario1-video,17,469,470,471,476,21,99
popular_study-entertainment-scanner_radio-scenario1-video,18,477,478,479,490,23,43
popular_study-entertainment-scanner_radio-scenario1-video,19,491,492,493,500,83,102
popular_study-entertainment-scanner_radio-scenario1-video,20,501,504,505,512,96,120
popular_study-entertainment-scanner_radio-scenario1-video,21,513,516,517,524,96,114
popular_study-entertainment-scanner_radio-scenario1-video,22,525,527,528,531,67,83
popular_study-entertainment-scanner_radio-scenario1-video,23,532,537,538,545,115,148
popular_study-entertainment-scanner_radio-scenario1-video,24,546,549,550,557,91,116
popular_study-entertainment-scanner_radio-scenario1-video,25,558,563,610,630,154,1410
popular_study-entertainment-scanner_radio-scenario1-video,26,631,649,685,699,321,1522
popular_study-entertainment-scanner_radio-scenario1-video,27,700,704,716,728,94,335
popular_study-entertainment-scanner_radio-scenario1-video,28,729,742,749,777,264,386
popular_study-entertainment-scanner_radio-scenario2-video,1,1,9,18,41,185,343
popular_study-entertainment-scanner_radio-scenario2-video,2,42,45,46,55,84,101
popular_study-entertainment-scanner_radio-scenario2-video,3,56,59,60,71,83,97
popular_study-entertainment-scanner_radio-scenario2-video,4,72,75,76,86,98,115
popular_study-entertainment-scanner_radio-scenario2-video,5,87,89,90,95,83,101
popular_study-entertainment-scanner_radio-scenario2-video,6,96,99,100,108,82,99
popular_study-entertainment-scanner_radio-scenario2-video,7,109,112,112,122,69,69
popular_study-entertainment-scanner_radio-scenario2-video,8,123,125,126,134,84,102
popular_study-entertainment-scanner_radio-scenario2-video,9,135,141,180,186,188,2568
popular_study-entertainment-scanner_radio-scenario2-video,10,187,205,216,232,341,595
popular_study-entertainment-scanner_radio-scenario2-video,11,233,242,242,284,229,229
popular_study-entertainment-scanner_radio-scenario2-video,12,285,297,311,401,266,1101
popular_study-entertainment-scanner_radio-scenario2-video,13,402,416,619,645,317,6859
popular_study-entertainment-scanner_radio-scenario2-video,14,646,672,704,705,553,1882
popular_study-entertainment-scanner_radio-scenario2-video,15,706,714,728,749,217,499
popular_study-entertainment-scanner_radio-scenario2-video,16,750,755,769,771,82,316
popular_study-entertainment-scanner_radio-scenario2-video,17,772,807,828,862,646,1013
popular_study-entertainment-scanner_radio-scenario2-video,18,863,876,884,929,271,401
popular_study-entertainment-scanner_radio-scenario2-video,19,930,938,943,966,185,277
popular_study-entertainment-scanner_radio-scenario2-video,20,967,976,981,1001,157,242
popular_study-entertainment-tubi-scenario1-video,1,1,8,8,13,178,178
popular_study-entertainment-tubi-scenario1-video,2,14,18,59,59,124,851
popular_study-entertainment-tubi-scenario1-video,3,60,65,101,102,120,717
popular_study-entertainment-tubi-scenario1-video,4,103,106,138,147,110,635
popular_study-entertainment-tubi-scenario1-video,5,148,152,172,214,72,403
popular_study-entertainment-tubi-scenario1-video,6,215,229,236,239,404,571
popular_study-entertainment-tubi-scenario1-video,7,240,245,276,286,107,635
popular_study-entertainment-tubi-scenario1-video,8,287,290,319,350,87,575
popular_study-entertainment-tubi-scenario1-video,9,351,353,366,407,75,307
popular_study-entertainment-tubi-scenario1-video,10,408,416,420,441,144,211
popular_study-entertainment-tubi-scenario1-video,11,442,450,462,474,141,334
popular_study-entertainment-tubi-scenario1-video,12,475,478,482,489,103,174
popular_study-entertainment-tubi-scenario2-video,1,1,8,9,15,158,178
popular_study-entertainment-tubi-scenario2-video,2,16,31,39,46,265,400
popular_study-entertainment-tubi-scenario2-video,3,47,52,54,59,103,131
popular_study-entertainment-tubi-scenario2-video,4,60,66,67,73,99,116
popular_study-entertainment-tubi-scenario2-video,5,74,76,78,86,83,132
popular_study-entertainment-tubi-scenario2-video,6,87,89,90,99,53,73
popular_study-entertainment-tubi-scenario2-video,7,100,106,106,112,109,109
popular_study-entertainment-tubi-scenario2-video,8,113,119,120,127,105,119
popular_study-entertainment-tubi-scenario2-video,9,128,132,160,160,68,666
popular_study-entertainment-tubi-scenario2-video,10,161,167,176,178,131,282
popular_study-entertainment-tubi-scenario2-video,11,179,190,192,199,297,346
popular_study-entertainment-tubi-scenario2-video,12,200,206,228,264,108,474
popular_study-entertainment-tubi-scenario2-video,13,265,269,283,325,93,326
popular_study-entertainment-tubi-scenario2-video,14,326,329,351,360,76,433
popular_study-entertainment-tubi-scenario2-video,15,361,365,378,386,81,298
popular_study-entertainment-tubi-scenario2-video,16,387,387,387,398,0,0
popular_study-entertainment-tubi-scenario2-video,17,399,403,439,473,100,703
popular_study-entertainment-tubi-scenario2-video,18,474,478,478,489,135,135
popular_study-entertainment-tubi-scenario2-video,19,490,492,509,525,72,354
popular_study-entertainment-tubi-scenario2-video,20,526,530,540,558,138,297
popular_study-entertainment-tubi-scenario2-video,21,559,602,602,603,883,883
popular_study-entertainment-tubi-scenario2-video,22,604,615,711,717,812,2500
popular_study-entertainment-tubi-scenario2-video,23,718,728,736,750,193,324
popular_study-entertainment-tubi-scenario2-video,24,751,755,763,795,152,273
popular_study-entertainment-tubi-scenario2-video,25,796,797,801,808,44,109
popular_study-events-invitation_card-scenario1-video,1,1,5,18,26,108,325
popular_study-events-invitation_card-scenario1-video,2,27,32,33,41,148,166
popular_study-events-invitation_card-scenario1-video,3,42,45,45,56,87,87
popular_study-events-invitation_card-scenario1-video,4,57,62,62,66,117,117
popular_study-events-invitation_card-scenario1-video,5,67,73,73,84,111,111
popular_study-events-invitation_card-scenario1-video,6,85,96,126,126,264,2114
popular_study-events-invitation_card-scenario1-video,7,127,131,163,176,106,658
popular_study-events-invitation_card-scenario1-video,8,177,187,239,265,219,3048
popular_study-events-invitation_card-scenario1-video,9,266,271,317,318,113,2869
popular_study-events-invitation_card-scenario1-video,10,319,328,394,395,192,1443
popular_study-events-invitation_card-scenario1-video,11,396,407,438,442,238,1179
popular_study-events-invitation_card-scenario1-video,12,443,453,455,455,268,302
popular_study-events-invitation_card-scenario1-video,13,456,461,493,500,140,703
popular_study-events-invitation_card-scenario1-video,14,501,507,525,526,154,467
popular_study-events-invitation_card-scenario1-video,15,527,533,572,573,175,996
popular_study-events-invitation_card-scenario1-video,16,574,588,588,590,342,342
popular_study-events-invitation_card-scenario1-video,17,591,602,640,640,228,962
popular_study-events-invitation_card-scenario1-video,18,641,647,664,665,146,515
popular_study-events-invitation_card-scenario1-video,19,666,669,669,678,121,121
popular_study-events-invitation_card-scenario1-video,20,679,682,684,691,125,157
popular_study-events-invitation_card-scenario1-video,21,692,700,726,726,150,767
popular_study-events-invitation_card-scenario1-video,22,727,733,770,775,157,838
popular_study-events-invitation_card-scenario1-video,23,776,785,971,974,238,3444
popular_study-events-invitation_card-scenario1-video,24,975,981,992,992,145,324
popular_study-events-invitation_card-scenario2-video,1,1,17,50,51,307,2743
popular_study-events-invitation_card-scenario2-video,2,52,58,90,139,126,660
popular_study-events-invitation_card-scenario2-video,3,140,152,200,236,261,2830
popular_study-events-invitation_card-scenario2-video,4,237,241,254,268,71,313
popular_study-events-invitation_card-scenario2-video,5,269,285,296,300,278,455
popular_study-events-invitation_card-scenario2-video,6,301,305,325,343,134,461
popular_study-events-invitation_card-scenario2-video,7,344,350,373,373,173,2159
popular_study-events-invitation_card-scenario2-video,8,374,389,396,404,286,414
popular_study-events-invitation_card-scenario2-video,9,405,419,439,439,296,1665
popular_study-events-invitation_card-scenario2-video,10,440,444,480,535,101,713
popular_study-events-invitation_card-scenario2-video,11,536,542,542,566,137,137
popular_study-events-invitation_card-scenario2-video,12,567,572,628,631,127,1070
popular_study-events-invitation_card-scenario2-video,13,632,635,644,644,103,253
popular_study-events-invitation_card-scenario2-video,14,645,649,658,658,101,254
popular_study-events-invitation_card-scenario2-video,15,659,671,671,672,258,258
popular_study-events-ticketmaster-scenario1-video,1,1,12,24,32,254,455
popular_study-events-ticketmaster-scenario1-video,2,33,39,47,47,145,280
popular_study-events-ticketmaster-scenario1-video,3,48,56,85,85,177,715
popular_study-events-ticketmaster-scenario1-video,4,86,87,91,93,13,97
popular_study-events-ticketmaster-scenario1-video,5,94,96,121,123,34,531
popular_study-events-ticketmaster-scenario1-video,6,124,134,152,156,165,480
popular_study-events-ticketmaster-scenario1-video,7,157,169,379,379,268,4904
popular_study-events-ticketmaster-scenario1-video,8,380,392,499,501,681,2730
popular_study-events-ticketmaster-scenario1-video,9,502,520,682,682,348,4017
popular_study-events-ticketmaster-scenario1-video,10,683,696,1149,1149,682,10896
popular_study-events-ticketmaster-scenario1-video,11,1150,1164,1164,1165,1892,1892
popular_study-events-ticketmaster-scenario1-video,12,1166,1184,1196,1196,442,675
popular_study-events-ticketmaster-scenario1-video,13,1197,1210,1223,1229,298,539
popular_study-events-ticketmaster-scenario1-video,14,1230,1231,1231,1247,48,48
popular_study-events-ticketmaster-scenario1-video,15,1248,1263,1279,1279,619,974
popular_study-events-ticketmaster-scenario1-video,16,1280,1296,1296,1315,312,312
popular_study-events-ticketmaster-scenario1-video,17,1316,1317,1317,1332,25,25
popular_study-events-ticketmaster-scenario1-video,18,1333,1345,1345,1347,250,250
popular_study-events-ticketmaster-scenario1-video,19,1348,1360,1360,1368,230,230
popular_study-events-ticketmaster-scenario1-video,20,1369,1379,1379,1387,228,228
popular_study-events-ticketmaster-scenario1-video,21,1388,1400,1400,1404,243,243
popular_study-events-ticketmaster-scenario1-video,22,1405,1415,1415,1418,207,207
popular_study-events-ticketmaster-scenario1-video,23,1419,1429,1429,1431,248,248
popular_study-events-ticketmaster-scenario1-video,24,1432,1442,1442,1445,230,230
popular_study-events-ticketmaster-scenario1-video,25,1446,1456,1456,1457,219,219
popular_study-events-ticketmaster-scenario1-video,26,1458,1477,1488,1491,1021,1263
popular_study-events-ticketmaster-scenario1-video,27,1492,1508,1508,1509,652,652
popular_study-events-ticketmaster-scenario1-video,28,1510,1525,1535,1535,332,586
popular_study-events-ticketmaster-scenario1-video,29,1536,1549,1619,1620,1298,2471
popular_study-events-ticketmaster-scenario1-video,30,1621,1626,1679,1689,127,1020
popular_study-events-ticketmaster-scenario1-video,31,1690,1713,2009,2389,430,5765
popular_study-events-ticketmaster-scenario1-video,32,2390,2406,2415,2436,287,454
popular_study-events-ticketmaster-scenario2-video,1,1,3,31,70,107,580
popular_study-events-ticketmaster-scenario2-video,2,71,74,93,120,102,416
popular_study-events-ticketmaster-scenario2-video,3,121,121,121,155,0,0
popular_study-events-ticketmaster-scenario2-video,4,156,156,156,191,0,0
popular_study-events-ticketmaster-scenario2-video,5,192,203,209,225,222,364
popular_study-events-ticketmaster-scenario2-video,6,226,240,387,390,322,2843
popular_study-events-ticketmaster-scenario2-video,7,391,404,412,415,266,400
popular_study-events-ticketmaster-scenario2-video,8,416,427,564,567,241,2601
popular_study-events-ticketmaster-scenario2-video,9,568,580,587,591,237,349
popular_study-events-ticketmaster-scenario2-video,10,592,603,692,694,235,1776
popular_study-events-ticketmaster-scenario2-video,11,695,708,716,720,233,367
popular_study-events-ticketmaster-scenario2-video,12,721,736,744,771,257,383
popular_study-events-ticketmaster-scenario2-video,13,772,785,830,832,296,4031
popular_study-events-ticketmaster-scenario2-video,14,833,847,855,875,280,423
popular_study-events-ticketmaster-scenario2-video,15,876,876,876,963,0,0
popular_study-finance-quick_book-scenario1-video,1,1,16,26,36,274,484
popular_study-finance-quick_book-scenario1-video,2,37,43,87,93,165,1248
popular_study-finance-quick_book-scenario1-video,3,94,102,110,141,231,381
popular_study-finance-quick_book-scenario1-video,4,142,149,189,203,209,999
popular_study-finance-quick_book-scenario1-video,5,204,221,229,268,351,531
popular_study-finance-quick_book-scenario1-video,6,269,273,284,287,163,378
popular_study-finance-quick_book-scenario1-video,7,288,296,305,316,197,348
popular_study-finance-quick_book-scenario1-video,8,317,322,323,332,126,141
popular_study-finance-quick_book-scenario1-video,9,333,337,339,346,127,160
popular_study-finance-quick_book-scenario1-video,10,347,349,351,358,79,111
popular_study-finance-quick_book-scenario1-video,11,359,361,362,372,100,120
popular_study-finance-quick_book-scenario1-video,12,373,377,377,387,101,101
popular_study-finance-quick_book-scenario1-video,13,388,393,393,402,131,131
popular_study-finance-quick_book-scenario1-video,14,403,406,406,416,101,101
popular_study-finance-quick_book-scenario1-video,15,417,420,420,434,109,109
popular_study-finance-quick_book-scenario1-video,16,435,437,437,447,102,102
popular_study-finance-quick_book-scenario1-video,17,448,449,449,461,58,58
popular_study-finance-quick_book-scenario1-video,18,462,464,464,475,65,65
popular_study-finance-quick_book-scenario1-video,19,476,479,479,492,84,84
popular_study-finance-quick_book-scenario1-video,20,493,498,506,513,116,249
popular_study-finance-quick_book-scenario1-video,21,514,519,549,565,132,662
popular_study-finance-quick_book-scenario1-video,22,566,579,612,615,233,904
popular_study-finance-quick_book-scenario1-video,23,616,626,634,661,243,426
popular_study-finance-quick_book-scenario1-video,24,662,667,703,724,164,902
popular_study-finance-quick_book-scenario1-video,25,725,734,745,776,238,504
popular_study-finance-quick_book-scenario1-video,26,777,780,780,786,100,100
popular_study-finance-quick_book-scenario1-video,27,787,790,800,813,113,349
popular_study-finance-quick_book-scenario1-video,28,814,821,831,849,216,380
popular_study-finance-quick_book-scenario1-video,29,850,853,853,862,125,125
popular_study-finance-quick_book-scenario1-video,30,863,866,866,875,82,82
popular_study-finance-quick_book-scenario1-video,31,876,880,880,888,135,135
popular_study-finance-quick_book-scenario1-video,32,889,893,893,896,122,122
popular_study-finance-quick_book-scenario1-video,33,897,904,904,914,129,129
popular_study-finance-quick_book-scenario1-video,34,915,921,921,928,143,143
popular_study-finance-quick_book-scenario1-video,35,929,934,934,942,132,132
popular_study-finance-quick_book-scenario1-video,36,943,947,947,958,132,132
popular_study-finance-quick_book-scenario1-video,37,959,962,962,975,90,90
popular_study-finance-quick_book-scenario1-video,38,976,980,980,990,127,127
popular_study-finance-quick_book-scenario1-video,39,991,993,993,1004,85,85
popular_study-finance-quick_book-scenario1-video,40,1005,1011,1019,1028,134,266
popular_study-finance-quick_book-scenario1-video,41,1029,1040,1048,1060,246,434
popular_study-finance-quick_book-scenario1-video,42,1061,1063,1093,1094,82,617
popular_study-finance-quick_book-scenario1-video,43,1095,1103,1115,1115,198,398
popular_study-finance-quick_book-scenario1-video,44,1116,1130,1138,1147,315,450
popular_study-finance-quick_book-scenario1-video,45,1148,1157,1192,1195,157,855
popular_study-finance-quick_book-scenario1-video,46,1196,1201,1223,1250,151,519
popular_study-finance-quick_book-scenario1-video,47,1251,1253,1288,1317,82,680
popular_study-finance-quick_book-scenario2-video,1,1,7,63,63,159,1105
popular_study-finance-quick_book-scenario2-video,2,64,75,90,115,267,567
popular_study-finance-quick_book-scenario2-video,3,116,120,120,131,118,118
popular_study-finance-quick_book-scenario2-video,4,132,135,135,146,84,84
popular_study-finance-quick_book-scenario2-video,5,147,156,166,189,247,517
popular_study-finance-quick_book-scenario2-video,6,190,192,194,199,61,110
popular_study-finance-quick_book-scenario2-video,7,200,204,214,217,135,364
popular_study-finance-quick_book-scenario2-video,8,218,230,240,252,291,545
popular_study-finance-quick_book-scenario2-video,9,253,265,275,297,281,458
popular_study-finance-quick_book-scenario2-video,10,298,307,314,332,167,281
popular_study-finance-quick_book-scenario2-video,11,333,341,383,384,165,1080
popular_study-finance-quick_book-scenario2-video,12,385,398,421,441,291,734
popular_study-finance-quick_book-scenario2-video,13,442,446,446,456,99,99
popular_study-finance-quick_book-scenario2-video,14,457,459,459,468,101,101
popular_study-finance-quick_book-scenario2-video,15,469,479,489,498,250,506
popular_study-finance-quick_book-scenario2-video,16,499,510,521,526,302,517
popular_study-finance-quick_book-scenario2-video,17,527,535,542,561,141,259
popular_study-finance-quick_book-scenario2-video,18,562,571,585,612,215,614
popular_study-finance-quick_book-scenario2-video,19,613,615,615,622,83,83
popular_study-finance-quick_book-scenario2-video,20,623,626,637,640,121,336
popular_study-finance-quick_book-scenario2-video,21,641,651,689,692,184,952
popular_study-finance-quick_book-scenario2-video,22,693,696,722,747,66,506
popular_study-finance-quick_book-scenario2-video,23,748,808,820,829,1482,1750
popular_study-finance-quick_book-scenario2-video,24,830,838,847,858,173,395
popular_study-finance-quick_book-scenario2-video,25,859,864,897,900,129,799
popular_study-finance-quick_book-scenario2-video,26,901,942,950,961,773,960
popular_study-finance-quick_book-scenario2-video,27,962,970,978,989,156,373
popular_study-finance-quick_book-scenario2-video,28,990,994,1035,1035,101,909
popular_study-finance-yahoo_finance-scenario1-video,1,1,15,66,76,252,1190
popular_study-finance-yahoo_finance-scenario1-video,2,77,110,173,173,591,3557
popular_study-finance-yahoo_finance-scenario1-video,3,174,185,229,237,224,1014
popular_study-finance-yahoo_finance-scenario1-video,4,238,245,253,270,129,262
popular_study-finance-yahoo_finance-scenario1-video,5,271,285,296,303,232,461
popular_study-finance-yahoo_finance-scenario1-video,6,304,320,330,337,326,498
popular_study-finance-yahoo_finance-scenario1-video,7,338,352,376,378,278,695
popular_study-finance-yahoo_finance-scenario1-video,8,379,392,415,416,245,735
popular_study-finance-yahoo_finance-scenario1-video,9,417,421,473,473,81,968
popular_study-finance-yahoo_finance-scenario1-video,10,474,477,525,535,100,901
popular_study-finance-yahoo_finance-scenario1-video,11,536,545,548,590,197,240
popular_study-finance-yahoo_finance-scenario1-video,12,591,601,629,646,198,664
popular_study-finance-yahoo_finance-scenario1-video,13,647,678,734,745,579,1812
popular_study-finance-yahoo_finance-scenario1-video,14,746,749,763,778,132,634
popular_study-finance-yahoo_finance-scenario1-video,15,779,792,805,806,282,500
popular_study-finance-yahoo_finance-scenario1-video,16,807,819,828,832,246,407
popular_study-finance-yahoo_finance-scenario1-video,17,833,847,868,869,285,652
popular_study-finance-yahoo_finance-scenario2-video,1,1,2,26,36,24,426
popular_study-finance-yahoo_finance-scenario2-video,2,37,41,60,83,101,482
popular_study-finance-yahoo_finance-scenario2-video,3,84,92,101,115,186,378
popular_study-finance-yahoo_finance-scenario2-video,4,116,123,132,133,195,421
popular_study-finance-yahoo_finance-scenario2-video,5,134,146,155,182,238,423
popular_study-finance-yahoo_finance-scenario2-video,6,183,192,238,238,250,1132
popular_study-finance-yahoo_finance-scenario2-video,7,239,244,293,294,107,925
popular_study-finance-yahoo_finance-scenario2-video,8,295,298,310,354,96,305
popular_study-finance-yahoo_finance-scenario2-video,9,355,366,380,387,237,537
popular_study-finance-yahoo_finance-scenario2-video,10,388,406,463,533,322,1521
popular_study-finance-yahoo_finance-scenario2-video,11,534,549,558,566,247,417
popular_study-finance-yahoo_finance-scenario2-video,12,567,581,589,592,273,407
popular_study-finance-yahoo_finance-scenario2-video,13,593,595,621,626,86,545
popular_study-finance-yahoo_finance-scenario2-video,14,627,631,651,670,138,548
popular_study-finance-yahoo_finance-scenario2-video,15,671,679,687,699,198,389
popular_study-finance-yahoo_finance-scenario2-video,16,700,705,715,716,175,378
popular_study-finance-yahoo_finance-scenario2-video,17,717,729,738,766,257,450
popular_study-finance-yahoo_finance-scenario2-video,18,767,773,816,816,200,999
